episode,reward,steps_survived
1459,89.00,100
1460,92.00,103
1461,12.00,23
1462,31.00,42
1463,32.00,43
1464,-3.00,8
1465,104.00,115
1466,71.00,82
1467,116.00,127
1468,68.00,79
1469,200.00,200
1470,188.00,199
1471,23.00,34
1472,24.00,35
1473,7.00,18
1474,34.00,45
1475,49.00,60
1476,43.00,54
1477,69.00,80
1478,57.00,68
1479,-2.00,9
1480,29.00,40
1481,50.00,61
1482,153.00,164
1483,126.00,137
1484,60.00,71
1485,11.00,22
1486,20.00,31
1487,-3.00,8
1488,-2.00,9
1489,13.00,24
1490,88.00,99
1491,127.00,138
1492,10.00,21
1493,7.00,18
1494,-5.00,6
1495,50.00,61
1496,29.00,40
1497,55.00,66
1498,20.00,31
1499,150.00,161
1500,172.00,183
1501,122.00,133
1502,200.00,200
1503,7.00,18
1504,37.00,48
1505,89.00,100
1506,-3.00,8
1507,11.00,22
1508,-5.00,6
1509,21.00,32
1510,129.00,140
1511,74.00,85
1512,200.00,200
1513,3.00,14
1514,79.00,90
1515,26.00,37
1516,10.00,21
1517,1.00,12
1518,16.00,27
1519,200.00,200
1520,14.00,25
1521,97.00,108
1522,46.00,57
1523,77.00,88
1524,154.00,165
1525,60.00,71
1526,133.00,144
1527,57.00,68
1528,183.00,194
1529,43.00,54
1530,161.00,172
1531,75.00,86
1532,17.00,28
1533,17.00,28
1534,81.00,92
1535,14.00,25
1536,64.00,75
1537,40.00,51
1538,5.00,16
1539,25.00,36
1540,46.00,57
1541,-3.00,8
1542,23.00,34
1543,29.00,40
1544,28.00,39
1545,91.00,102
1546,200.00,200
1547,-2.00,9
1548,0.00,11
1549,0.00,11
1550,60.00,71
1551,33.00,44
1552,83.00,94
1553,-1.00,10
1554,19.00,30
1555,110.00,121
1556,200.00,200
1557,102.00,113
1558,63.00,74
1559,59.00,70
1560,121.00,132
1561,12.00,23
1562,-1.00,10
1563,96.00,107
1564,-2.00,9
1565,200.00,200
1566,85.00,96
1567,28.00,39
1568,-4.00,7
1569,40.00,51
1570,89.00,100
1571,61.00,72
1572,16.00,27
1573,44.00,55
1574,110.00,121
1575,138.00,149
1576,200.00,200
1577,-1.00,10
1578,160.00,171
1579,79.00,90
1580,25.00,36
1581,117.00,128
1582,137.00,148
1583,200.00,200
1584,23.00,34
1585,60.00,71
1586,119.00,130
1587,34.00,45
1588,67.00,78
1589,37.00,48
1590,91.00,102
1591,176.00,187
1592,200.00,200
1593,12.00,23
1594,13.00,24
1595,52.00,63
1596,13.00,24
1597,93.00,104
1598,28.00,39
1599,200.00,200
1600,200.00,200
1601,72.00,83
1602,139.00,150
1603,33.00,44
1604,99.00,110
1605,62.00,73
1606,34.00,45
1607,26.00,37
1608,62.00,73
1609,76.00,87
1610,16.00,27
1611,24.00,35
1612,24.00,35
1613,134.00,145
1614,44.00,55
1615,74.00,85
1616,117.00,128
1617,88.00,99
1618,27.00,38
1619,21.00,32
1620,96.00,107
1621,4.00,15
1622,1.00,12
1623,7.00,18
1624,19.00,30
1625,67.00,78
1626,22.00,33
1627,60.00,71
1628,20.00,31
1629,10.00,21
1630,21.00,32
1631,102.00,113
1632,181.00,192
1633,21.00,32
1634,114.00,125
1635,44.00,55
1636,-5.00,6
1637,56.00,67
1638,109.00,120
1639,3.00,14
1640,88.00,99
1641,9.00,20
1642,8.00,19
1643,9.00,20
1644,36.00,47
1645,65.00,76
1646,24.00,35
1647,59.00,70
1648,108.00,119
1649,2.00,13
