system:index,classification,.geo
217,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91638178499232,50.940630069273084]}"
218,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91647161652074,50.940630069273084]}"
219,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91656144804915,50.940630069273084]}"
220,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91665127957756,50.940630069273084]}"
221,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91674111110598,50.940630069273084]}"
222,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9138665021968,50.9407199008015]}"
223,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9139563337252,50.9407199008015]}"
224,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91404616525361,50.9407199008015]}"
225,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91413599678202,50.9407199008015]}"
226,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91422582831044,50.9407199008015]}"
227,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91431565983885,50.9407199008015]}"
228,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91440549136726,50.9407199008015]}"
229,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91449532289568,50.9407199008015]}"
230,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91458515442409,50.9407199008015]}"
231,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.9146749859525,50.9407199008015]}"
232,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91476481748091,50.9407199008015]}"
233,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91485464900933,50.9407199008015]}"
234,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91494448053773,50.9407199008015]}"
235,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91503431206614,50.9407199008015]}"
236,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[71.91512414359455,50.9407199008015]}"
